%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.25       0.24024387            0.625       -819.56895        2021250.3         1541.621      -0.82038934        2023.2736        1.5431642    -0.0010309317        2.5425206     0.0019391973        2021251.1        2023.2743        2.5425215 
                7       0.23195959            0.625       -1154.3926        2023474.3        1707.7646       -1.1555481        2025.4998        1.7094741    -0.0014521046        2.5453181     0.0021481885        2023475.3        2025.5008        2.5453194 
             7.75       0.51362482            0.625        4110.5942          2007480        4470.8418        4.1147089        2009.4895        4.4753171     0.0051706957         2.525199     0.0056238494        2007489.2        2009.4987        2.5252106 
              7.5       0.49705627            0.625       -180.29593        2019041.7        3038.3843      -0.18047641        2021.0627        3.0414257   -0.00022679335        2.5397424     0.0038219683          2019044         2021.065        2.5397452 
             7.25       0.48048773            0.625       -1450.9507        2019258.9        2886.3825       -1.4524031        2021.2801        2.8892718    -0.0018251435        2.5400155      0.003630766        2019261.4        2021.2827        2.5400188 
                7       0.46391919            0.625       -1956.6665        2023694.9        3089.8991       -1.9586252        2025.7206        3.0929921     -0.002461281        2.5455956     0.0038867685        2023698.2        2025.7239        2.5455997 
             7.75       0.77043723            0.625        6081.2424          1990552        6608.3904        6.0873297        1992.5445        6.6150055     0.0076495641        2.5039053      0.008312661        1990572.2        1992.5648        2.5039308 
              7.5       0.74558441            0.625       -392.90756        2016050.4        4474.0841      -0.39330086        2018.0684        4.4785627   -0.00049423644        2.5359796     0.0056279278        2016055.4        2018.0734        2.5359859 
             7.25        0.7207316            0.625       -2241.6844        2016080.8        4255.0234       -2.2439283        2018.0989        4.2592827    -0.0028198035        2.5360179     0.0053523724        2016086.6        2018.1047        2.5360251 
                7       0.69587878            0.625       -2854.0709        2024110.2        4480.0121       -2.8569278        2026.1363        4.4844966    -0.0035901214         2.546118     0.0056353846        2024117.1        2026.1433        2.5461267 
             7.75        1.0272496            0.625        7858.4035        1966237.5        8783.4253        7.8662697        1968.2057        8.7922175     0.0098850461        2.4733203      0.011048626        1966272.9        1968.2411        2.4733647 
              7.5       0.99411255            0.625       -1262.9217        2011608.3        5959.3889       -1.2641859        2013.6219        5.9653542    -0.0015886228        2.5303919     0.0074962852        2011617.5        2013.6312        2.5304035 
