%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.25       -1.4414632            0.375        1204.1982        2009230.3       -5348.9655 
                7       -1.3917576            0.375        406.66899          2009630       -4852.5844 
             7.75        -1.284062            0.375       -9116.8037          2009101       -2647.1163 
              7.5       -1.2426407            0.375       -3909.9379        2009685.8       -3925.0889 
             7.25       -1.2012193            0.375       -1142.5913        2013135.1       -4378.1744 
                7        -1.159798            0.375       -535.69117        2012337.6       -3996.9977 
             7.75       -1.0272496            0.375       -7722.2303        2014468.1        -2198.883 
              7.5      -0.99411255            0.375       -4225.3963        2015239.4       -3147.8876 
             7.25      -0.96097546            0.375       -1857.9593        2016520.8       -3452.5533 
                7      -0.92783838            0.375       -805.72792        2015633.1       -3162.8607 
             7.75      -0.77043723            0.375       -5857.1925        2017809.6        -1669.822 
              7.5      -0.74558441            0.375       -3636.4085          2019239       -2328.0586 
             7.25       -0.7207316            0.375       -1868.6967        2019404.2         -2550.14 
                7      -0.69587878            0.375       -748.28747        2018599.2       -2312.4183 
             7.75      -0.51362482            0.375       -3859.5006        2019963.4       -1106.7591 
              7.5      -0.49705627            0.375       -2469.4674          2021804       -1522.8884 
             7.25      -0.48048773            0.375       -1376.2765        2021536.5        -1636.107 
                7      -0.46391919            0.375       -612.11293          2020825       -1464.1733 
             7.75      -0.25681241            0.375       -1881.1032        2021160.3       -502.51883 
              7.5      -0.24852814            0.375       -1270.7373        2023247.5       -694.75066 
             7.25      -0.24024387            0.375       -766.01653        2022734.7       -731.31336 
                7      -0.23195959            0.375       -392.12788        2022119.5       -613.50867 
             7.75   -8.4654506e-16            0.375        103.74001        2021430.9        108.80966 
              7.5   -8.4654506e-16            0.375       -17.473401        2023592.1        130.81639 
             7.25   -9.5062846e-16            0.375       -137.40346        2023029.7        169.32919 
                7   -9.7144515e-16            0.375       -195.80697        2022412.6        234.13104 
             7.75       0.25681241            0.375        2089.3455        2020803.9         719.8454 
              7.5       0.24852814            0.375        1237.4323        2022861.4        955.92484 
             7.25       0.24024387            0.375        493.32477        2022368.3        1069.0441 
