%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.75      -0.25681241            0.625       -1095.4546          1211028       -1143.2605       -1.0965512        1212.2402       -1.1444049    -0.0013779668         1.523346    -0.0014381016          1211029        1212.2412        1.5233473 
              7.5      -0.24852814            0.625       -3.5273872        1212736.3       -750.26148    -0.0035309181        1213.9503      -0.75101249   -4.4370825e-06        1.5254949   -0.00094375013        1212736.5        1213.9505        1.5254952 
             7.25      -0.24024387            0.625          226.942        1212982.1       -680.52471       0.22716917        1214.1963      -0.68120592    0.00028546919        1.5258041    -0.0008560286        1212982.3        1214.1965        1.5258044 
                7      -0.23195959            0.625        295.17059        1214055.7       -627.97905       0.29546605         1215.271      -0.62860766    0.00037129359        1.5271546   -0.00078993168        1214055.9        1215.2712        1.5271548 
             7.75   -8.8123953e-16            0.625        95.324489        1212739.2        129.50314      0.095419908        1213.9531       0.12963277    0.00011990819        1.5254985    0.00016290134        1212739.2        1213.9531        1.5254985 
              7.5   -8.9511731e-16            0.625       -21.563925        1212947.3        105.28885     -0.021585511        1214.1615       0.10539424   -2.7125153e-05        1.5257603    0.00013244231        1212947.3        1214.1615        1.5257603 
             7.25   -1.0547119e-15            0.625       -133.23894        1213236.4        122.45366      -0.13337232        1214.4508       0.12257623    -0.0001676006        1.5261239    0.00015403384        1213236.4        1214.4509         1.526124 
                7   -1.0616508e-15            0.625       -199.56132          1214028        198.91434      -0.19976109        1215.2432       0.19911346   -0.00025102718        1.5271197    0.00025021335          1214028        1215.2433        1.5271197 
             7.75       0.25681241            0.625        1286.5417        1210576.3        1402.1974        1.2878295        1211.7881         1.403601     0.0016183343        1.5227779      0.001763817        1210577.8        1211.7896        1.5227797 
              7.5       0.24852814            0.625       -38.621235        1212514.1        960.63152     -0.038659895        1213.7279       0.96159311   -4.8581456e-05        1.5252154     0.0012083735        1212514.5        1213.7282        1.5252159 
             7.25       0.24024387            0.625       -491.74137        1212750.2         924.9726      -0.49223361        1213.9641        0.9258985   -0.00061855899        1.5255123     0.0011635184        1212750.6        1213.9646        1.5255129 
                7       0.23195959            0.625       -692.63555        1214084.6        1024.6588      -0.69332888        1215.2999        1.0256844   -0.00087126277        1.5271908     0.0012889131        1214085.2        1215.3005        1.5271916 
             7.75       0.51362482            0.625        2466.3565          1204488        2682.5051        2.4688253        1205.6937        2.6851903     0.0031024174        1.5151194     0.0033743096        1204493.5        1205.6992        1.5151263 
              7.5       0.49705627            0.625       -108.17756          1211425        1823.0306      -0.10828585        1212.6376        1.8248554   -0.00013607601        1.5238454      0.002293181        1211426.4         1212.639        1.5238471 
             7.25       0.48048773            0.625        -870.5704        1211555.3        1731.8295      -0.87144184        1212.7681        1.7335631    -0.0010950861        1.5240093     0.0021784596        1211556.9        1212.7696        1.5240113 
                7       0.46391919            0.625       -1173.9999        1214216.9        1853.9394       -1.1751751        1215.4323        1.8557952    -0.0014767686        1.5273573     0.0023320611        1214218.9        1215.4343        1.5273598 
             7.75       0.77043723            0.625        3648.7454        1194331.2        3965.0343        3.6523978        1195.5267        3.9690033     0.0045897385        1.5023432     0.0049875966        1194343.3        1195.5389        1.5023585 
              7.5       0.74558441            0.625       -235.74454        1209630.2        2684.4505      -0.23598052        1210.8411        2.6871376   -0.00029654186        1.5215877     0.0033767567        1209633.2        1210.8441        1.5215915 
             7.25        0.7207316            0.625       -1345.0106        1209648.5         2553.014        -1.346357        1210.8594        2.5555696    -0.0016918821        1.5216107     0.0032114235        1209651.9        1210.8628        1.5216151 
                7       0.69587878            0.625       -1712.4425        1214466.1        2688.0072       -1.7141567        1215.6818        2.6906979    -0.0021540728        1.5276708     0.0033812308        1214470.3         1215.686         1.527676 
             7.75        1.0272496            0.625        4715.0421        1179742.5        5270.0552        4.7197618        1180.9234        5.2753305     0.0059310277        1.4839922     0.0066291758        1179763.7        1180.9447        1.4840188 
              7.5       0.99411255            0.625       -757.75303          1206965        3575.6333      -0.75851154        1208.1732        3.5792125   -0.00095317371        1.5182352     0.0044977711        1206970.5        1208.1787        1.5182421 
             7.25       0.96097546            0.625       -2140.9736        1207094.6        3380.9965       -2.1431167        1208.3029        3.3843809    -0.0026931198        1.5183982     0.0042529384        1207101.2        1208.3095        1.5184065 
                7       0.92783838            0.625       -2329.0905        1214951.3        3532.0625        -2.331422        1216.1675        3.5355981    -0.0029297512        1.5282811     0.0044429636        1214958.7        1216.1748        1.5282904 
             7.75         1.284062            0.625        5477.7753        1159892.1        6591.1627        5.4832585        1161.0531        6.5977604     0.0068904659        1.4590224     0.0082909903        1159923.7        1161.0848        1.4590622 
              7.5        1.2426407            0.625       -1924.4263        1203326.4        4472.7063       -1.9263527         1204.531        4.4771835    -0.0024207262        1.5136582     0.0056261947        1203336.3        1204.5408        1.5136706 
             7.25        1.2012193            0.625       -3442.8108        1203996.7        4241.0685       -3.4462571        1205.2019        4.2453138    -0.0043306944        1.5145014     0.0053348187        1204009.1        1205.2143         1.514517 
                7         1.159798            0.625       -3174.6323        1215915.8         4383.346       -3.1778101        1217.1329        4.3877337     -0.003993354        1.5294943     0.0055137888        1215927.8         1217.145        1.5295095 
             7.75        1.5408745            0.625        5801.9011        1133402.4        7923.2301        5.8077088        1134.5369        7.9311613     0.0072981821        1.4257011     0.0099665912        1133444.9        1134.5795        1.4257546 
              7.5        1.4911688            0.625       -4254.0132        1198477.7        5397.8095       -4.2582715        1199.6774        5.4032127    -0.0053511018         1.507559     0.0067898773        1198497.4        1199.6971        1.5075838 
             7.25        1.4414632            0.625       -5811.3889        1200422.6        5159.1649       -5.8172061        1201.6242        5.1643293    -0.0073101168        1.5100056     0.0064896875        1200447.8        1201.6494        1.5100372 
                7        1.3917576            0.625       -4456.2026        1217905.7        5270.8845       -4.4606632        1219.1248        5.2761607    -0.0056054347        1.5319974     0.0066302191        1217925.2        1219.1444         1.532022 
             7.75        1.7976869            0.625        4981.2903        1097671.8        9345.2023        4.9862766        1098.7706        9.3545569       0.00626594        1.3807558      0.011755283        1097722.9        1098.8217        1.3808201 
              7.5         1.739697            0.625        -9293.419        1191701.8        6396.8434       -9.3027218        1192.8947        6.4032467     -0.011690145        1.4990357     0.0080465571        1191755.3        1192.9482        1.4991029 
             7.25        1.6817071            0.625       -10246.826        1196915.9        6086.8286       -10.257083         1198.114        6.0929215      -0.01288943        1.5055945     0.0076565909        1196975.2        1198.1734        1.5056691 
                7        1.6237172            0.625       -6384.8595        1221813.2        6197.3236       -6.3912508        1223.0363        6.2035271    -0.0080314826        1.5369127     0.0077955821        1221845.6        1223.0687        1.5369534 
             7.75        2.0544993            0.625         1719.516        1047403.3        10858.949        1.7212372        1048.4517        10.869819     0.0021629705        1.3175233      0.013659418          1047461        1048.5095        1.3175959 
              7.5        1.9882251            0.625       -20005.009        1181568.7        7517.7777       -20.025034        1182.7515         7.525303       -0.0251642        1.4862894     0.0094565746          1181762        1182.9449        1.4865324 
             7.25        1.9219509            0.625        -19508.29        1194455.1        7207.7402       -19.527817        1195.6507        7.2149552     -0.024539379         1.502499     0.0090665801        1194636.1        1195.8319        1.5027267 
                7        1.8556768            0.625       -10171.882        1229587.2        7274.8797       -10.182065         1230.818        7.2821619      -0.01279516        1.5466915     0.0091510345        1229650.8        1230.8816        1.5467715 
             7.75        2.3113117            0.625       -6600.0893         972304.8        12936.346        -6.606696        973.27808        12.949295    -0.0083022191        1.2230573      0.016272565        972413.26        973.38664        1.2231937 
              7.5        2.2367532            0.625       -42782.736        1164451.2        8907.4082       -42.825561        1165.6168        8.9163246     -0.053816188        1.4647573      0.011204584        1165270.9        1166.4373        1.4657884 
             7.25        2.1621948            0.625       -39429.104        1194507.6        8442.0003       -39.468572        1195.7033        8.4504507     -0.049597671         1.502565       0.01061915        1195187.9        1196.3843        1.5034209 
                7        2.0876364            0.625       -18095.165        1245823.6        8422.8847       -18.113278        1247.0707         8.431316     -0.022761816        1.5671152      0.010595104        1245983.5        1247.2307        1.5673163 
             7.75        2.5681241            0.625        -24288.49        855658.29         18959.52       -24.312803        856.51481        18.978498     -0.030552369        1.0763283      0.023849084        856212.89        857.06996        1.0770259 
              7.5        2.4852814            0.625       -88886.901        1133003.3        11671.692       -88.975877        1134.1375        11.683375      -0.11181038        1.4251992      0.014681763        1136544.6        1137.6823        1.4296537 
             7.25        2.4024387            0.625       -81651.602        1198493.8        10038.466       -81.733335        1199.6935        10.048514      -0.10270914        1.5075793      0.012627335        1201313.9        1202.5165        1.5111268 
                7        2.3195959            0.625       -35475.234        1280570.2        9721.1926       -35.510745        1281.8521        9.7309235     -0.044624118        1.6108228      0.012228239        1281098.4        1282.3808        1.6114872 
             7.75        2.8249365            0.625        -29705.51        717486.46        33962.032       -29.735246        718.20466        33.996028     -0.037366412       0.90252259      0.042720669        718903.78        719.62341       0.90430544 
              7.5        2.7338095            0.625       -150782.09        1048989.5        20749.639       -150.93303        1050.0395        20.770409      -0.18966803        1.3195186      0.026100866        1059973.9         1061.035        1.3333359 
             7.25        2.6426825            0.625       -185689.79        1191160.8        12564.854       -185.87567        1192.3531        12.577432      -0.23357826        1.4983551      0.015805267          1205613        1206.8198        1.5165345 
