%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
             7.75       0.51362482            0.375        2442.0455        1211551.8        793.95679 
              7.5       0.49705627            0.375        1464.6654        1212620.3        1069.6526 
             7.25       0.48048773            0.375        665.95231        1212483.1         1182.682 
                7       0.46391919            0.375        136.86349          1212018        1155.2433 
             7.75       0.77043723            0.375        3643.1557          1210050        1130.9428 
              7.5       0.74558441            0.375        2170.0611        1210853.2        1551.4621 
             7.25        0.7207316            0.375         968.0325        1210986.5        1728.4073 
                7       0.69587878            0.375        224.45582        1210447.4        1658.9145 
             7.75        1.0272496            0.375        4766.0256        1207840.6        1447.1138 
              7.5       0.99411255            0.375        2531.6126        1208229.2        2041.4934 
             7.25       0.96097546            0.375        971.62976        1209041.5         2265.938 
                7       0.92783838            0.375        267.44786        1208436.4        2161.7394 
             7.75         1.284062            0.375        5608.7175        1204423.7        1714.2916 
              7.5        1.2426407            0.375        2354.7004        1204678.4        2505.3438 
             7.25        1.2012193            0.375        556.94899        1206798.1        2816.2558 
                7         1.159798            0.375        117.18182        1206232.2        2652.4153 
             7.75        1.5408745            0.375        6087.9136        1198992.9        1902.1151 
              7.5        1.4911688            0.375        1194.1808        1200094.7        2951.9519 
             7.25        1.4414632            0.375       -829.75594        1204246.4        3392.2953 
                7        1.3917576            0.375       -432.24226        1204385.2        3153.3793 
             7.75        1.7976869            0.375        5534.2308        1189733.4         2070.313 
              7.5         1.739697            0.375       -2512.4626        1193686.8           3420.3 
             7.25        1.6817071            0.375         -4164.56        1202136.9         3945.423 
                7        1.6237172            0.375       -1488.3968        1203745.2        3659.5294 
             7.75        2.0544993            0.375        2766.1465        1172664.6        2237.4521 
              7.5        1.9882251            0.375       -11422.759        1183965.7        3964.6836 
             7.25        1.9219509            0.375       -12041.222        1201579.1        4644.1823 
                7        1.8556768            0.375       -4258.1211        1206023.4        4265.2054 
             7.75        2.3113117            0.375       -4794.7196        1139284.6         3203.911 
              7.5        2.2367532            0.375        -31929.69        1167205.1        4847.1825 
             7.25        2.1621948            0.375       -30344.112        1204134.4        5401.0879 
                7        2.0876364            0.375       -10978.792        1215691.5        4853.3647 
             7.75        2.5681241            0.375       -20622.788        1071255.4        9053.1474 
              7.5        2.4852814            0.375        -74863.42        1133622.8        7588.7271 
             7.25        2.4024387            0.375       -71041.662        1212148.1        6456.6785 
                7        2.3195959            0.375       -26817.738        1242877.3        5428.0335 
             7.75        2.8249365            0.375       -31708.243        960353.39        27282.963 
              7.5        2.7338095            0.375       -137969.47        1043720.4        16902.627 
             7.25        2.6426825            0.375        -168103.9          1211383         7925.016 
                7        2.5515555            0.375         -74148.4        1315811.6        6065.2605 
             7.75        3.0817489            0.375       -57833.659        744243.99        79588.097 
              7.5        2.9823376            0.375       -225580.03        866608.36        25370.337 
             7.25        2.8829264            0.375       -375611.31        1083235.8        10670.458 
                7        2.7835151            0.375       -226166.81          1532629       -1782.7422 
             7.75       -3.0817489            0.125        70404.022        726973.21       -12792.725 
              7.5       -2.9823376            0.125        242888.98        866134.06       -9403.4481 
             7.25       -2.8829264            0.125        383604.04        1084574.5       -3458.1002 
                7       -2.7835151            0.125        228697.92        1542260.7       -1009.8284 
             7.75       -2.8249365            0.125        36750.463        923463.83       -10361.996 
              7.5       -2.7338095            0.125        145247.56          1042367       -5822.7134 
             7.25       -2.6426825            0.125        171807.42          1211144       -3005.1191 
                7       -2.5515555            0.125        74636.885        1325488.6       -1621.5203 
             7.75       -2.5681241            0.125        22990.795        1048977.6       -4413.9822 
              7.5       -2.4852814            0.125        77130.382        1134157.7       -3331.2614 
             7.25       -2.4024387            0.125        71177.856          1212449         -2359.58 
                7       -2.3195959            0.125        26043.073        1249827.2       -1541.6427 
             7.75       -2.3113117            0.125        6280.8324        1126129.5       -1976.5949 
              7.5       -2.2367532            0.125        32739.759        1169593.6       -2025.6096 
             7.25       -2.1621948            0.125        29755.344        1204702.2       -1887.0068 
                7       -2.0876364            0.125        10122.292        1221222.4       -1349.7731 
             7.75       -2.0544993            0.125       -1583.7061        1164461.6       -1187.9521 
              7.5       -1.9882251            0.125        11889.172        1186513.6       -1542.9851 
             7.25       -1.9219509            0.125        11342.534        1202269.7       -1576.9996 
                7       -1.8556768            0.125        3425.3265        1210374.1       -1170.6009 
             7.75       -1.7976869            0.125       -4509.2215        1184225.1       -955.10145 
              7.5        -1.739697            0.125        2899.1965        1195844.5        -1296.065 
             7.25       -1.6817071            0.125         3529.465        1202820.4       -1336.1062 
                7       -1.6237172            0.125        737.11958        1207134.2       -1006.0549 
             7.75       -1.5408745            0.125       -5199.1896        1195325.4       -819.48965 
              7.5       -1.4911688            0.125       -858.08718          1201786       -1101.8764 
             7.25       -1.4414632            0.125        278.29413        1204862.3       -1123.0243 
                7       -1.3917576            0.125       -230.97427        1206965.3       -852.47171 
             7.75        -1.284062            0.125       -4850.4005        1202121.8       -696.46087 
              7.5       -1.2426407            0.125       -2063.0478        1205917.9       -918.83252 
             7.25       -1.2012193            0.125       -1027.3243        1207289.6       -925.95311 
                7        -1.159798            0.125       -701.62304        1208098.6       -704.77882 
             7.75       -1.0272496            0.125       -4140.0216        1206536.4       -565.19315 
              7.5      -0.99411255            0.125       -2296.7749          1209052        -733.1499 
             7.25      -0.96097546            0.125       -1373.0517        1209392.7       -730.19938 
                7      -0.92783838            0.125       -779.63563        1209688.2       -558.54871 
             7.75      -0.77043723            0.125       -3146.3168        1209443.1       -424.75845 
              7.5      -0.74558441            0.125       -1999.0749        1211305.8       -544.52915 
             7.25       -0.7207316            0.125        -1302.139        1211169.8       -537.83204 
                7      -0.69587878            0.125       -658.77016        1211170.2       -409.74303 
             7.75      -0.51362482            0.125       -2073.2861        1211364.1       -278.63487 
              7.5      -0.49705627            0.125       -1355.3256        1212743.9        -353.8831 
             7.25      -0.48048773            0.125       -933.18649        1212484.2       -345.42159 
                7      -0.46391919            0.125       -497.22679        1212300.1       -260.49845 
             7.75      -0.25681241            0.125       -1011.5391        1212448.9       -128.28666 
              7.5      -0.24852814            0.125       -696.59029        1213548.8       -161.97442 
             7.25      -0.24024387            0.125       -498.28409        1213223.5        -153.1377 
                7      -0.23195959            0.125       -287.60985          1212963       -110.62363 
             7.75   -8.6042284e-16            0.125        53.747859        1212726.8        23.062034 
              7.5   -8.2572837e-16            0.125       -7.5951465        1213737.3         30.14481 
             7.25   -8.3960616e-16            0.125       -54.961654        1213405.1        37.970338 
                7   -8.1185059e-16            0.125       -93.530626        1213109.7        39.607369 
             7.75       0.25681241            0.125        1119.4435        1212215.2        174.33858 
              7.5       0.24852814            0.125        682.22513        1213320.8        222.14756 
             7.25       0.24024387            0.125        389.35392        1213000.9        228.86721 
                7       0.23195959            0.125        101.52054        1212747.7          189.565 
             7.75       0.51362482            0.125        2182.4473        1210898.1        324.48421 
              7.5       0.49705627            0.125        1343.4632        1212289.1         413.7261 
             7.25       0.48048773            0.125        827.24258        1212039.9        420.53051 
                7       0.46391919            0.125        314.06637        1211870.6        338.61934 
             7.75       0.77043723            0.125         3257.733        1208747.6        470.26683 
              7.5       0.74558441            0.125        1991.6693        1210626.6         603.8145 
             7.25        0.7207316            0.125        1201.4374        1210505.7         611.8909 
                7       0.69587878            0.125         480.6412        1210528.5        486.50357 
             7.75        1.0272496            0.125        4254.9441        1205616.2        610.19478 
              7.5       0.99411255            0.125         2296.427        1208152.4        791.64909 
             7.25       0.96097546            0.125          1280.44        1208511.3        802.75508 
                7       0.92783838            0.125        608.84703        1208837.2         633.3935 
             7.75         1.284062            0.125        4970.8143        1200984.6        740.77514 
              7.5        1.2426407            0.125        2073.6387        1204803.5        976.26773 
             7.25        1.2012193            0.125        946.72984        1206194.1        996.54151 
                7         1.159798            0.125        541.04958        1207041.7        777.07023 
             7.75        1.5408745            0.125        5328.2694        1193983.7        862.88129 
              7.5        1.4911688            0.125         886.0081        1200464.9        1157.9147 
             7.25        1.4414632            0.125       -340.65654        1203556.4        1191.0907 
                7        1.3917576            0.125        84.495435        1205705.5        921.49668 
             7.75        1.7976869            0.125         4653.026        1182700.4        997.38466 
              7.5         1.739697            0.125       -2841.3539          1194329        1350.3754 
             7.25        1.6817071            0.125       -3562.4371        1201306.8        1400.9911 
                7        1.6237172            0.125       -863.95767        1205672.4        1070.9305 
             7.75        2.0544993            0.125        1754.0526        1162793.6        1229.3319 
              7.5        1.9882251            0.125       -11776.763        1184824.2        1595.1839 
             7.25        1.9219509            0.125       -11324.333        1200548.3        1637.6702 
                7        1.8556768            0.125       -3522.5528        1208706.1        1230.0275 
             7.75        2.3113117            0.125        -6060.558        1124391.5        2019.8494 
              7.5        2.2367532            0.125       -32522.363        1167766.9        2076.0229 
             7.25        2.1621948            0.125       -29640.811        1202768.4        1941.8129 
                7        2.0876364            0.125       -10170.706        1219329.9        1401.5944 
             7.75        2.5681241            0.125       -22679.545        1047294.1        4472.4674 
              7.5        2.4852814            0.125       -76712.153        1132265.8        3383.8699 
