%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
                7        1.8556768            0.625       -17196.592        2134587.6        11775.845       -17.213806        2136.7243        11.787632     -0.021631507         2.685087      0.014812775        2134689.3        2136.8262        2.6852149 
             7.75        2.3113117            0.625       -12898.317        1704978.7        21211.335       -12.911228        1706.6854        21.232568     -0.016224728        2.1446842      0.026681631        1705159.5        1706.8663        2.1449115 
              7.5        2.2367532            0.625       -74898.278        2024925.3        14587.508       -74.973251        2026.9523         14.60211     -0.094214166        2.5471434      0.018349553        2026362.5        2028.3909        2.5489512 
             7.25        2.1621948            0.625       -68729.899        2078220.5        13806.494       -68.798698        2080.3008        13.820315     -0.086454993        2.6141831       0.01736712        2079402.5         2081.484        2.6156699 
                7        2.0876364            0.625       -31092.267        2163134.1        13707.663        -31.12339        2165.2994        13.721385     -0.039110805        2.7209954        0.0172428        2163400.9        2165.5665        2.7213311 
             7.75        2.5681241            0.625       -44031.589        1505891.6        31203.064       -44.075664         1507.399        31.234298     -0.055387113        1.8942535      0.039250177        1506858.3        1508.3667        1.8954695 
              7.5        2.4852814            0.625       -155710.51        1970093.2         19167.87       -155.86637        1972.0652        19.187057      -0.19586746        2.4781702      0.024111167          1976330        1978.3083        2.4860155 
             7.25        2.4024387            0.625       -142945.36          2086240        16461.574       -143.08844        2088.3283        16.478052      -0.17981024        2.6242707      0.020706931        2091196.2        2093.2895        2.6305052 
                7        2.3195959            0.625       -61605.461        2224250.4         15900.66       -61.667128        2226.4769        15.916577     -0.077493199        2.7978734      0.020001361        2225160.2        2227.3876        2.7990178 
             7.75        2.8249365            0.625       -55585.084        1266235.8        56054.299       -55.640724        1267.5033        56.110409     -0.069920196        1.5927916       0.07051042        1268694.1        1269.9641        1.5958839 
              7.5        2.7338095            0.625       -265964.23        1823652.8        34232.702       -266.23046        1825.4783        34.266969      -0.33455506        2.2939637      0.043061143          1843263        1845.1081        2.3186312 
             7.25        2.6426825            0.625       -325044.01          2074881        20660.948       -325.36938         2076.958        20.681629      -0.40887123        2.6099824      0.025989302        2100288.5        2102.3909        2.6419423 
                7        2.5515555            0.625       -150190.15        2369392.1        19095.795       -150.34049        2371.7638         19.11491      -0.18892343        2.9804463      0.024020505        2374224.2        2376.6008        2.9865246 
             7.75        3.0817489            0.625       -50421.833          1117409        137040.78       -50.472305        1118.5275        137.17796     -0.063425369        1.4055831       0.17238291        1126909.7        1128.0377         1.417534 
              7.5        2.9823376            0.625       -342081.98        1538066.3        41417.062       -342.42441        1539.6059         41.45852       -0.4303032        1.9347258      0.052098313        1576192.7        1577.7704        1.9826848 
             7.25        2.8829264            0.625       -629156.31        1882746.6        25848.186       -629.78609        1884.6312         25.87406      -0.79141255        2.3682974      0.032514303        1985255.8         1987.243        2.4972432 
                7        2.7835151            0.625       -380915.91        2729704.7        9634.9754       -381.29721        2732.4371          9.64462      -0.47915221        3.4336817      0.012119787        2756170.8        2758.9297        3.4669733 
             7.75       -3.0817489            0.375        106001.97        1290568.3       -130993.79        106.10808        1291.8602       -131.12491       0.13333935        1.6233994      -0.16477643        1301523.1        1302.8259        1.6371793 
              7.5       -2.9823376            0.375        399865.88          1508614       -41778.721        400.26615        1510.1241       -41.820542       0.50298928         1.897678     -0.052553242        1561266.9        1562.8298        1.9639098 
