%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
              7.5      -0.99411255            0.375       -4137.4956        2098616.1       -3249.5433 
             7.25      -0.96097546            0.375       -1679.5352        2099990.3       -3581.7426 
                7      -0.92783838            0.375       -616.32154        2099082.7       -3345.3866 
             7.75      -0.77043723            0.375       -5920.4314        2101402.3       -1762.3006 
              7.5      -0.74558441            0.375       -3588.5652        2102788.6       -2436.7651 
             7.25       -0.7207316            0.375       -1721.4849        2103009.4       -2690.4216 
                7      -0.69587878            0.375       -562.72372        2102181.2       -2508.6025 
             7.75      -0.51362482            0.375       -3937.1543        2103730.7       -1204.9395 
              7.5      -0.49705627            0.375       -2434.2599        2105522.5       -1639.4442 
             7.25      -0.48048773            0.375       -1236.2969        2105297.2       -1786.1142 
                7      -0.46391919            0.375       -425.21676        2104566.9       -1673.5614 
             7.75      -0.25681241            0.375       -1972.0574        2105102.6       -605.66886 
              7.5      -0.24852814            0.375       -1245.3922        2107144.1       -818.02694 
             7.25      -0.24024387            0.375       -627.51016        2106662.1       -890.77876 
                7      -0.23195959            0.375       -200.03942        2106039.7       -835.28826 
             7.75   -8.4654506e-16            0.375    -0.0053217943        2105550.2       0.67808541 
              7.5   -8.4654506e-16            0.375      -0.19889136        2107676.5       0.85601326 
             7.25   -9.5062846e-16            0.375      -0.36619626        2107135.9        1.0919736 
                7   -9.7144515e-16            0.375      -0.35586861        2106525.2         1.197479 
             7.75       0.25681241            0.375        1972.0471        2105102.5        607.00477 
              7.5       0.24852814            0.375        1244.9954        2107144.1        819.71946 
             7.25       0.24024387            0.375        626.77896        2106662.1        892.94377 
                7       0.23195959            0.375        199.32846        2106039.6        837.66501 
             7.75       0.51362482            0.375         3937.145        2103730.7        1206.2095 
              7.5       0.49705627            0.375        2433.8663        2105522.3        1641.0736 
             7.25       0.48048773            0.375        1235.5695          2105297        1788.2181 
                7       0.46391919            0.375        424.50834        2104566.5        1675.8792 
             7.75       0.77043723            0.375        5920.4247        2101402.2         1763.441 
              7.5       0.74558441            0.375        3588.1789        2102788.2        2438.2714 
             7.25        0.7207316            0.375        1720.7661        2103009.1        2692.4068 
                7       0.69587878            0.375        562.02072        2102180.6        2510.8074 
             7.75        1.0272496            0.375        7762.0933          2097875        2286.9626 
              7.5       0.99411255            0.375        4137.1243        2098615.6        3250.8345 
             7.25       0.96097546            0.375         1678.833        2099989.8        3583.5206 
                7       0.92783838            0.375        615.62852        2099081.7        3347.3974 
             7.75         1.284062            0.375        9107.1966        2092271.2        2729.4118 
              7.5        1.2426407            0.375        3735.8505        2092878.2        4019.2727 
             7.25        1.2012193            0.375        895.43004        2096499.6        4497.8322 
                7         1.159798            0.375        323.90114        2095700.9        4166.5851 
             7.75        1.5408745            0.375        9803.7793        2083170.1        3039.8855 
              7.5        1.4911688            0.375        1598.5558        2085383.7        4759.5407 
             7.25        1.4414632            0.375       -1602.4436        2092523.5        5457.8628 
                7        1.3917576            0.375       -675.78622        2092999.4        5007.5038 
             7.75        1.7976869            0.375        8673.7136        2067376.7         3322.445 
              7.5         1.739697            0.375        -5017.074        2074740.1        5538.9126 
             7.25        1.6817071            0.375       -7535.2892        2089371.1          6378.14 
                7        1.6237172            0.375       -2581.0255        2092469.4        5861.3359 
             7.75        2.0544993            0.375        3634.2197        2037885.2        3600.6021 
              7.5        1.9882251            0.375       -20786.548        2058321.8        6446.2117 
             7.25        1.9219509            0.375       -21462.547          2088982        7549.4394 
                7        1.8556768            0.375       -7510.0378        2097121.7        6891.8096 
             7.75        2.3113117            0.375       -9851.3168        1979745.6        5198.4098 
              7.5        2.2367532            0.375       -56934.159          2029559        7909.8195 
             7.25        2.1621948            0.375       -53724.693        2094088.3        8814.4066 
                7        2.0876364            0.375       -19398.896        2114813.7        7895.0619 
             7.75        2.5681241            0.375       -37889.194        1860988.4        14889.871 
              7.5        2.4852814            0.375       -132472.19        1971201.1        12447.802 
             7.25        2.4024387            0.375       -125384.59        2108794.5        10573.757 
                7        2.3195959            0.375       -47334.057        2163339.7        8885.3269 
             7.75        2.8249365            0.375       -58874.035        1666168.9        45030.606 
              7.5        2.7338095            0.375       -244723.47        1815074.7         27875.38 
             7.25        2.6426825            0.375          -295809        2108363.3        13009.495 
                7        2.5515555            0.375       -130376.82          2292193        9983.0089 
             7.75        3.0817489            0.375       -105996.71        1290556.7        130975.52 
              7.5        2.9823376            0.375       -399853.05        1508599.1        41757.116 
             7.25        2.8829264            0.375       -659010.13        1886470.2        17528.955 
                7        2.7835151            0.375       -395901.54        2672174.9        -2999.319 
             7.75       -3.0817489            0.125        125562.07        1260361.7       -21337.843 
              7.5       -2.9823376            0.125        426406.34        1505200.8       -15675.881 
             7.25       -2.8829264            0.125        669938.64        1885107.7       -5735.2541 
                7       -2.7835151            0.125         398909.9        2682591.3       -1618.4044 
             7.75       -2.8249365            0.125        66455.904          1602987       -17284.445 
              7.5       -2.7338095            0.125        255509.42        1809857.5       -9711.6925 
             7.25       -2.6426825            0.125        300795.83          2104112        -5003.758 
                7       -2.5515555            0.125        130798.56        2303832.4       -2700.5228 
             7.75       -2.5681241            0.125        41278.073        1821496.5       -7372.3141 
              7.5       -2.4852814            0.125        135521.83          1968936       -5567.6568 
