%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ
      0.022783696     0.0010916536      0.009688694        607.08202      0.078604854       0.69430729 
      0.022783696     0.0032202209     0.0092028625        607.40706        0.2315657       0.65925863 
      0.022783696     0.0051873127     0.0082555609         607.4024       0.37227538        0.5913172 
      0.022783696     0.0068942911     0.0068942911        607.40215       0.49408734       0.49408734 
      0.022783696     0.0082555609     0.0051873127         607.4024        0.5913172       0.37227538 
      0.022783696     0.0092028625     0.0032202209        607.40706       0.65925863        0.2315657 
      0.022783696      0.009688694     0.0010916536        607.08202       0.69430729      0.078604854 
      0.020594565     0.0010916536      0.009688694         608.9202      0.072665132       0.62368566 
      0.020594565     0.0032202209     0.0092028625        609.24107       0.21049908       0.59157261 
      0.020594565     0.0051873127     0.0082555609        609.23678       0.33506459       0.53102474 
      0.020594565     0.0068942911     0.0068942911        609.23665       0.44398951       0.44398951 
      0.020594565     0.0082555609     0.0051873127        609.23678       0.53102474       0.33506459 
      0.020594565     0.0092028625     0.0032202209        609.24107       0.59157261       0.21049908 
      0.020594565      0.009688694     0.0010916536         608.9202       0.62368566      0.072665132 
      0.074124038      0.001175627      0.010433978        238.96774       0.48254808        4.3222244 
      0.074124038     0.0034679302      0.009910775        238.97782        1.4285194        4.1076895 
      0.074124038     0.0055863368     0.0088906041        238.98207        2.3092044        3.6852966 
      0.074124038     0.0074246212     0.0074246212        238.98401        3.0752112        3.0752112 
      0.074124038     0.0088906041     0.0055863368        238.98207        3.6852966        2.3092044 
      0.074124038      0.009910775     0.0034679302        238.97782        4.1076895        1.4285194 
      0.074124038      0.010433978      0.001175627        238.96774        4.3222244       0.48254808 
      0.076322115      0.001175627      0.010433978        233.60622       0.47472583        4.2322337 
      0.076322115     0.0034679302      0.009910775        233.60959        1.4026193        4.0211768 
      0.076322115     0.0055863368     0.0088906041        233.61081        2.2633817        3.6075232 
      0.076322115     0.0074246212     0.0074246212        233.61194        3.0114031        3.0114031 
      0.076322115     0.0088906041     0.0055863368        233.61081        3.6075232        2.2633817 
      0.076322115      0.009910775     0.0034679302        233.60959        4.0211768        1.4026193 
      0.076322115      0.010433978      0.001175627        233.60622        4.2322337       0.47472583 
      0.078520192      0.001175627      0.010433978        227.44936       0.53433334        4.7492132 
      0.078520192     0.0034679302      0.009910775         227.4501        1.5768886        4.5115405 
      0.078520192     0.0055863368     0.0088906041        227.44954        2.5415995        4.0473163 
      0.078520192     0.0074246212     0.0074246212        227.45019        3.3793847        3.3793847 
      0.078520192     0.0088906041     0.0055863368        227.44954        4.0473163        2.5415995 
      0.078520192      0.009910775     0.0034679302         227.4501        4.5115405        1.5768886 
      0.078520192      0.010433978      0.001175627        227.44936        4.7492132       0.53433334 
      0.080718269      0.001175627      0.010433978         220.3637       0.59607336        5.2929033 
      0.080718269     0.0034679302      0.009910775        220.36361        1.7585731        5.0276857 
      0.080718269     0.0055863368     0.0088906041        220.36222        2.8333637        4.5102311 
      0.080718269     0.0074246212     0.0074246212        220.36253        3.7663062        3.7663062 
      0.080718269     0.0088906041     0.0055863368        220.36222        4.5102311        2.8333637 
      0.080718269      0.009910775     0.0034679302        220.36361        5.0276857        1.7585731 
      0.080718269      0.010433978      0.001175627         220.3637        5.2929033       0.59607336 
      0.082916346      0.001175627      0.010433978        212.35165       0.66256807        5.8812745 
      0.082916346     0.0034679302      0.009910775        212.35127        1.9545489         5.586433 
      0.082916346     0.0055863368     0.0088906041        212.34957         3.148677        5.0114131 
      0.082916346     0.0074246212     0.0074246212        212.34972        4.1849985        4.1849985 
      0.082916346     0.0088906041     0.0055863368        212.34957        5.0114131         3.148677 
      0.082916346      0.009910775     0.0034679302        212.35127         5.586433        1.9545489 
      0.082916346      0.010433978      0.001175627        212.35165        5.8812745       0.66256807 
      0.085114423      0.001175627      0.010433978        203.35984       0.73414952        6.5157499 
      0.085114423     0.0034679302      0.009910775        203.35939        2.1656222        6.1890384 
      0.085114423     0.0055863368     0.0088906041        203.35762        3.4885129        5.5519657 
      0.085114423     0.0074246212     0.0074246212        203.35769        4.6364882        4.6364882 
      0.085114423     0.0088906041     0.0055863368        203.35762        5.5519657        3.4885129 
      0.085114423      0.009910775     0.0034679302        203.35939        6.1890384        2.1656222 
      0.085114423      0.010433978      0.001175627        203.35984        6.5157499       0.73414952 
        0.0873125      0.001175627      0.010433978        193.28711        0.8119483        7.2057514 
        0.0873125     0.0034679302      0.009910775        193.28672        2.3950654        6.8444107 
        0.0873125     0.0055863368     0.0088906041        193.28498        3.8580137        6.1398653 
        0.0873125     0.0074246212     0.0074246212        193.28503        5.1274857        5.1274857 
        0.0873125     0.0088906041     0.0055863368        193.28498        6.1398653        3.8580137 
        0.0873125      0.009910775     0.0034679302        193.28672        6.8444107        2.3950654 
        0.0873125      0.010433978      0.001175627        193.28711        7.2057514        0.8119483 
      0.089510577      0.001175627      0.010433978        181.96743       0.89755226        7.9650802 
      0.089510577     0.0034679302      0.009910775        181.96717        2.6475315        7.5656399 
      0.089510577     0.0055863368     0.0088906041        181.96554        4.2646141        6.7868478 
      0.089510577     0.0074246212     0.0074246212        181.96559        5.6678145        5.6678145 
      0.089510577     0.0088906041     0.0055863368        181.96554        6.7868478        4.2646141 
      0.089510577      0.009910775     0.0034679302        181.96717        7.5656399        2.6475315 
      0.089510577      0.010433978      0.001175627        181.96743        7.9650802       0.89755226 
      0.091708654      0.001175627      0.010433978        169.13186       0.99328446        8.8141516 
      0.091708654     0.0034679302      0.009910775        169.13187        2.9298463        8.3721066 
      0.091708654     0.0055863368     0.0088906041        169.13038        4.7192682        7.5102971 
      0.091708654     0.0074246212     0.0074246212        169.13043        6.2720037        6.2720037 
      0.091708654     0.0088906041     0.0055863368        169.13038        7.5102971        4.7192682 
      0.091708654      0.009910775     0.0034679302        169.13187        8.3721066        2.9298463 
      0.091708654      0.010433978      0.001175627        169.13186        8.8141516       0.99328446 
      0.093906731      0.001175627      0.010433978        154.32826        1.1029152         9.786183 
      0.093906731     0.0034679302      0.009910775        154.32875        3.2530851        9.2953531 
      0.093906731     0.0055863368     0.0088906041        154.32743        5.2397695        8.3385146 
      0.093906731     0.0074246212     0.0074246212        154.32748        6.9636922        6.9636922 
      0.093906731     0.0088906041     0.0055863368        154.32743        8.3385146        5.2397695 
      0.093906731      0.009910775     0.0034679302        154.32875        9.2953531        3.2530851 
      0.093906731      0.010433978      0.001175627        154.32826         9.786183        1.1029152 
      0.096104808      0.001175627      0.010433978        136.69796        1.2372536        10.976597 
      0.096104808     0.0034679302      0.009910775        136.69941        3.6489956        10.426017 
      0.096104808     0.0055863368     0.0088906041        136.69817        5.8771776        9.3528387 
      0.096104808     0.0074246212     0.0074246212        136.69816        7.8107878        7.8107878 
      0.096104808     0.0088906041     0.0055863368        136.69817        9.3528387        5.8771776 
      0.096104808      0.009910775     0.0034679302        136.69941        10.426017        3.6489956 
      0.096104808      0.010433978      0.001175627        136.69796        10.976597        1.2372536 
      0.098302885      0.001175627      0.010433978        114.82872        1.3885455        12.316695 
      0.098302885     0.0034679302      0.009910775        114.83215        4.0945927        11.698876 
      0.098302885     0.0055863368     0.0088906041        114.83048        6.5945704        10.494798 
      0.098302885     0.0074246212     0.0074246212        114.83036        8.7643925        8.7643925 
      0.098302885     0.0088906041     0.0055863368        114.83048        10.494798        6.5945704 
      0.098302885      0.009910775     0.0034679302        114.83215        11.698876        4.0945927 
      0.098302885      0.010433978      0.001175627        114.82872        12.316695        1.3885455 
       0.10050096      0.001175627      0.010433978        76.733483        2.2399515         19.89195 
       0.10050096     0.0034679302      0.009910775        76.735693         6.610016         18.89489 
       0.10050096     0.0055863368     0.0088906041        76.734669        10.649969        16.949533 
       0.10050096     0.0074246212     0.0074246212        76.734587        14.154656        14.154656 
       0.10050096     0.0088906041     0.0055863368        76.734669        16.949533        10.649969 
       0.10050096      0.009910775     0.0034679302        76.735693         18.89489         6.610016 
       0.10050096      0.010433978      0.001175627        76.733483         19.89195        2.2399515 
       0.07063692     0.0098718085     0.0011122857        409.09491        95.510937        10.728754 
       0.07222442      0.010244451     0.0011542724        281.79833        68.484782        7.7075928 
       0.07063692     0.0093767948     0.0032810824        409.17861        90.751256        31.709153 
       0.07222442      0.009730751      0.003404937        281.82246        65.061081        22.748327 
       0.07063692     0.0084115894     0.0052853519        409.18844        81.406199        51.134412 
       0.07222442      0.008729111      0.005484864        281.83281         58.36652        36.662098 
       0.07063692     0.0070245919     0.0070245919        409.19009        67.977099        67.977099 
       0.07222442     0.0072897569     0.0072897569        281.83516        48.738267        48.738267 
       0.07063692     0.0052853519     0.0084115894        409.18844        51.134412        81.406199 
       0.07222442      0.005484864      0.008729111        281.83281        36.662098         58.36652 
       0.07063692     0.0032810824     0.0093767948        409.17861        31.709153        90.751256 
       0.07222442      0.003404937      0.009730751        281.82246        22.748327        65.061081 
       0.07063692     0.0011122857     0.0098718085        409.09491        10.728754        95.510937 
       0.07222442     0.0011542724      0.010244451        281.79833        7.7075928        68.484782 
      0.018416667      0.009688694     0.0010916536        610.55895       0.55474501      0.065062849 
          0.01625      0.009688694     0.0010916536        611.99827       0.48744603       0.05510796 
      0.014083333      0.009688694     0.0010916536        613.25016       0.42071674      0.047645905 
      0.011916667      0.009688694     0.0010916536        614.31909       0.35474233      0.040105469 
          0.00975      0.009688694     0.0010916536        615.20718        0.2893567      0.032987906 
     0.0075833333      0.009688694     0.0010916536        615.91691       0.22442366      0.026462698 
     0.0054166667      0.009688694     0.0010916536        616.45168       0.15971167       0.02156674 
          0.00325      0.009688694     0.0010916536         616.8189      0.094736682      0.021547521 
     0.0010833333      0.009688694     0.0010916536        617.05029      0.027541231      0.044612335 
      0.018416667     0.0092028625     0.0032202209        610.87136       0.52605608       0.18775685 
          0.01625     0.0092028625     0.0032202209        612.30661       0.46279086       0.16270756 
      0.014083333     0.0092028625     0.0032202209        613.55838       0.39948688       0.14030064 
      0.011916667     0.0092028625     0.0032202209        614.62708       0.33684024       0.11828237 
          0.00975     0.0092028625     0.0032202209        615.51496       0.27458221      0.097068658 
     0.0075833333     0.0092028625     0.0032202209        616.22354       0.21245203      0.077055292 
     0.0054166667     0.0092028625     0.0032202209        616.75358       0.14981415      0.059714245 
          0.00325     0.0092028625     0.0032202209        617.10236      0.085290703      0.048625294 
     0.0010833333     0.0092028625     0.0032202209        617.23786      0.015162751      0.053993498 
      0.018416667     0.0082555609     0.0051873127        610.86877       0.47229438       0.29818064 
          0.01625     0.0082555609     0.0051873127        612.30427       0.41499117       0.26159449 
      0.014083333     0.0082555609     0.0051873127        613.55525       0.35831947       0.22557017 
